SMILES,MW (desalted),ClogP,HBD,TPSA,RotBonds
CNc1cnc(-c2noc(C3(C(F)(F)F)CCN(c4ccccn4)C3)n2)cn1,391.35,1.799,1,92.86,5
Cc1noc(C)c1CN(C)C(=O)Nc1cc(C2CCC2)nn1C,317.386,0.946,1,76.19,4
CCOc1ccc(CC(=O)N2CCc3ccccc3C2C(=O)O)cc1,339.385,3.334,1,66.84,5
Cc1c(C(=O)NCC2CCCO2)nnn1-c1cccc2c1CCN(Cc1ccccc1)C2,431.53,3.396,1,72.28,6
Cc1cc(S(=O)(=O)N2C[C@@H](C(=O)NC3CC3)[C@H](c3cn(C)cn3)C2)c(C)o1,392.473,0.605,1,97.44,4
Cc1noc([C@]23CCC[C@H]2CN(C(=O)Cn2nc(C)n(C)c2=O)C3)n1,346.384,-0.263,0,95.14,3
CCC(C(=O)O)N1CCC(Oc2ccccc2Cl)C1,283.751,1.972,1,49.77,5
O=C(O)C1CCN(C(=O)NCc2ccc(Oc3ccccc3)nc2)C1,341.361,1.838,2,91.76,5
O=C(NCCc1ccccn1)C1CCCN1c1ncccn1,297.355,0.299,1,71.01,5
Cc1ccc(CNC(=O)CN2CCCC(O)(Cc3nncn3C)C2)cc1,357.45,0.461,2,83.28,6
CC(C)(C)OC(=O)c1cc(NC(=O)COCC2CCCO2)ccn1,336.383,1.806,1,86.75,8
Cl.NC1CCC(C(F)(F)F)N(C(=O)Cc2ccccc2C(F)(F)F)C1,354.291,2.859,1,46.33,4
Cn1cc(C(NC(=O)N2CCC(n3cn[nH]c3=O)CC2)C(F)(F)F)cn1,373.334,-0.264,2,94.86,4
COCCOc1ccc(C(F)(F)F)cc1NC(=O)Cc1cc(C)ccc1OC,397.388,3.798,1,56.79,9
Nc1nnc(CNC(=O)c2ccc(N3CCCCC3)cc2)o1,301.344,0.437,2,97.28,4
CCn1nc(C)c(CC(=O)N[C@H]2CCO[C@H]2c2nc(C)n[nH]2)c1C,332.401,-0.641,2,97.72,5
O=C(O)CN1CCN(c2ccc(F)cc2Cl)CC1,272.703,1.11,1,43.78,3
COCC1(C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)sc1Cl,374.261,2.563,1,83.91,4
Cn1cnnc1CC1(O)CCCN(c2nc3ccccc3[nH]2)C1,312.37,0.254,2,82.86,3
CCc1nc(C2(NC(=O)c3ccc(C(=O)O)o3)CCCC2)no1,319.313,1.702,2,118.46,5
CCc1nc(CNC(=O)N2CC(C)(C)C2c2cccnc2)n[nH]1,314.385,0.925,2,86.8,4
Cc1nc(-c2cc(NC(=O)[C@H]3CCCO3)cc(C(F)(F)F)c2)n[nH]1,340.3,2.758,2,79.9,4
Cc1noc(C2CN(C(=O)NCc3cn(C)nc3C(F)(F)F)CCN2C)n1,387.36,0.275,1,92.32,4
Cc1cnn(CCN(Cc2nc(-c3cccc(Cl)c3)no2)Cc2nc(-c3cccc(Cl)c3)no2)c1,510.375,4.708,0,98.9,9
COc1ccc2c(c1)OCC(C(=O)NCc1occc1C)C2,301.337,2.754,1,60.7,4
Cc1c(CNC(=O)c2ncoc2C(F)(F)F)cnn1C,288.226,-0.286,1,72.95,4
O=C(CN1Cc2ccccc2C1=O)N1CCn2c(nnc2C(F)(F)F)C1,365.31,0.033,0,71.33,3
